31,MKCH,-189297.280068,5877480.009210,2461542.397368
32,MPUR,-3048.259367,5802404.668748,2639275.758753
33,NEPJ,821410.166804,5572943.296937,2981328.085479
34,NR01,-1021357.019157,5424994.731442,3184111.299842
35,NR03,-970516.777745,5447679.086088,3161355.042175
36,NR09,-1240818.196902,5303034.819711,3308331.800534
37,NVSK,433600.173532,3655488.805684,5191185.354186
38,OSHK,1437388.456241,4637004.851306,4122884.050607
39,PODG,848064.253277,4569024.769796,4354040.208462
40,QIME,-1061189.598599,5366772.779727,3268069.530399
41,RBIT,60396.260383,5694127.128893,2863327.675745
42,RMJT,341294.057673,5661179.749542,2908296.727872
43,RMTE,337583.103030,5677316.214594,2877317.128208
44,RPUR,-78221.832179,5872007.044492,2480439.659859
45,SHTZ,1886271.782057,4697649.239991,3867029.878001
46,SITA,-170899.528678,5888164.533697,2437397.107241
47,TASH,1695827.086115,4486834.068666,4189846.241798
48,ULAB,-1257095.997424,4098391.849210,4706826.661306
49,WARI,-1057165.517115,5375801.914796,3254596.594748
50,XIAN,-1735086.621742,4976476.550694,3580278.983176
