1,AIRP,465050.711706,5632444.980462,2946424.036513
2,BADG,-838170.905844,3865261.197200,4987007.526752
3,BAGH,-224405.568963,5862782.140899,2493223.911482
4,BARK,-243909.842747,5880841.916260,2448759.900085
5,BELT,609122.648572,5630866.753427,2923242.966331
6,BESI,550736.553370,5596729.002761,2998888.920732
7,BJNM,-2154251.141090,4373391.078167,4098787.642550
8,BRN2,271804.758979,5704360.624178,2830727.805973
10,CHNR,-153908.832507,5819320.976932,2597494.140128
11,DAMA,482329.769172,5635378.835520,2938080.579072
12,DIGH,-211387.845615,5859816.890152,2501265.335650
13,DMAU,563304.136340,5608908.570643,2973863.061925
14,GARM,1671586.385031,4672927.992063,3992834.652466
15,GHER,547058.771655,5589381.672539,3013135.083801
16,IRKT,-968240.902717,3794133.337720,5017769.053020
17,JAFL,-203479.832916,5772020.631949,2697032.145171
18,JAML,-124865.560845,5782666.155941,2679074.462958
20,JURI,-216345.811725,5803261.916204,2628575.899187
21,KAWA,578236.699579,5624280.528102,2942007.707015
22,KIRT,464310.796693,5633074.332411,2945344.654629
23,KIT3,1944784.586336,4556178.019633,4003953.191976
24,KMTR,972827.446494,4656256.352739,4234696.923899
25,KPTI,-228065.704399,5891150.276480,2425554.670544
26,KRTV,798545.723829,3967134.698010,4913460.394480
27,KSTU,-174287.816663,3571238.226236,5264006.366028
28,KUMT,973619.523346,4656393.717481,4234366.063123
30,MANM,1591599.450687,4806922.975942,3865261.252904
